Symbol,Market,Sector,Security Type 
ADVANC,SET,ICT,Common Shares
AOT,SET,TRANS,Common Shares
AWC,SET,PROP,Common Shares
BANPU,SET,ENERG,Common Shares
BBL,SET,BANK,Common Shares
BCP,SET,ENERG,Common Shares
BDMS,SET,HELTH,Common Shares
BEM,SET,TRANS,Common Shares
BH,SET,HELTH,Common Shares
BJC,SET,COMM,Common Shares
BTS,SET,TRANS,Common Shares
CBG,SET,FOOD,Common Shares
CCET,SET,ETRON,Common Shares
COM7,SET,COMM,Common Shares
CPALL,SET,COMM,Common Shares
CPF,SET,FOOD,Common Shares
CPN,SET,PROP,Common Shares
CRC,SET,COMM,Common Shares
DELTA,SET,ETRON,Common Shares
EGCO,SET,ENERG,Common Shares
GPSC,SET,ENERG,Common Shares
GULF,SET,ENERG,Common Shares
HMPRO,SET,COMM,Common Shares
IVL,SET,PETRO,Common Shares
KBANK,SET,BANK,Common Shares
KKP,SET,BANK,Common Shares
KTB,SET,BANK,Common Shares
KTC,SET,FIN,Common Shares
LH,SET,PROP,Common Shares
MINT,SET,TOURISM,Common Shares
MTC,SET,FIN,Common Shares
OR,SET,ENERG,Common Shares
OSP,SET,FOOD,Common Shares
PTT,SET,ENERG,Common Shares
PTTEP,SET,ENERG,Common Shares
PTTGC,SET,PETRO,Common Shares
RATCH,SET,ENERG,Common Shares
SCB,SET,BANK,Common Shares
SCC,SET,CONMAT,Common Shares
SCGP,SET,PKG,Common Shares
TCAP,SET,BANK,Common Shares
TIDLOR,SET,FIN,Common Shares
TISCO,SET,BANK,Common Shares
TLI,SET,INSUR,Common Shares
TOP,SET,ENERG,Common Shares
TRUE,SET,ICT,Common Shares
TTB,SET,BANK,Common Shares
TU,SET,FOOD,Common Shares
VGI,SET,MEDIA,Common Shares
WHA,SET,PROP,Common Shares
