Owner,Number of Stocks,Total Cost,Unrealized P&L,Unrealized %,Realized P&L,cashbalance start,Cash Balance,Net Asset Value,Max NAV,Min NAV,Max Drawdown (%),Relative Drawdown,Calmar Ratio,Previous Day Max DD (%),Number of Wins,Number of Sells,Win Rate,Return rate,Saved At,Daily Ticks Time
FemboyLover,0,0,0,0,-6025.38,10000000.0,9993974.62,9993974.62,10004015.97,9496292.08,-5.08,-0.050836448376174195,-0.011852480248455331,-5.08,3,7,42.9,-0.0602538,2025-11-30 17:50:53,2025-11-10 00:00:00
FemboyLover,0,0,0,0,9758450.85,9993974.62,19758450.85,19758450.85,19758450.85,19758450.85,-5.18,-0.05183796459837663,18.824911281745727,-5.18,986,991,99.5,97.5845084591,2025-11-30 17:51:10,2025-11-11 00:00:00
FemboyLover,0,0,0,0,9628200.77,19758450.85,19628200.77,19628200.77,19764895.76,19132628.25,-5.18,-0.05183796459837663,18.573647407718024,-5.18,1000,1034,96.7,96.2820076784,2025-11-30 17:51:32,2025-11-12 00:00:00
FemboyLover,0,0,0,0,9544624.99,19628200.77,19544624.99,19544624.99,19628200.77,19034075.3,-5.18,-0.05183796459837663,18.412422370326965,-5.18,1008,1069,94.3,95.4462499003,2025-11-30 17:52:01,2025-11-13 00:00:00
FemboyLover,0,0,0,0,9461233.97,19544624.99,19461233.97,19461233.97,19544624.99,18952906.91,-5.18,-0.05183796459837663,18.25155374265306,-5.18,1018,1106,92.0,94.6123396777,2025-11-30 17:52:22,2025-11-14 00:00:00
FemboyLover,0,0,0,0,9448233.93,19461233.97,19448233.93,19448233.93,19463302.77,18949123.8,-5.18,-0.05183796459837663,18.226475525693896,-5.18,1020,1113,91.6,94.4823393054,2025-11-30 17:52:47,2025-11-17 00:00:00
FemboyLover,0,0,0,0,9399250.84,19448233.93,19399250.84,19399250.84,19455725.48,18899577.52,-5.18,-0.05183796459837663,18.131982820085256,-5.18,1022,1139,89.7,93.9925083526,2025-11-30 17:53:09,2025-11-18 00:00:00
FemboyLover,0,0,0,0,9372914.5,19399250.84,19372914.5,19372914.5,19403651.12,18873586.17,-5.18,-0.05183796459837663,18.081177713982523,-5.18,1028,1160,88.6,93.7291450234,2025-11-30 17:53:25,2025-11-19 00:00:00
FemboyLover,0,0,0,0,9405046.61,19372914.5,19405046.61,19405046.61,19419609.68,18902452.34,-5.18,-0.05183796459837663,18.143163379932645,-5.18,1051,1196,87.9,94.0504660992,2025-11-30 17:53:41,2025-11-20 00:00:00
FemboyLover,0,0,0,0,9564125.1,19405046.61,19564125.1,19564125.1,19586032.14,19082032.14,-5.18,-0.05183796459837663,18.45003980921418,-5.18,1100,1262,87.2,95.6412510469,2025-11-30 17:54:06,2025-11-21 00:00:00
FemboyLover,0,0,0,0,9531206.18,19564125.1,19531206.18,19531206.18,19575978.67,19037690.79,-5.18,-0.05183796459837663,18.38653630389477,-5.18,1107,1276,86.8,95.3120618008,2025-11-30 17:54:24,2025-11-24 00:00:00
FemboyLover,0,0,0,0,9519281.76,19531206.18,19519281.76,19519281.76,19551914.6,19007090.03,-5.18,-0.05183796459837663,18.363533042286612,-5.18,1119,1296,86.3,95.1928175747,2025-11-30 17:54:43,2025-11-25 00:00:00
FemboyLover,0,0,0,0,9505081.72,19519281.76,19505081.72,19505081.72,19638967.78,19021537.81,-5.18,-0.05183796459837663,18.33613991020688,-5.18,1159,1361,85.2,95.0508171536,2025-11-30 17:55:00,2025-11-26 00:00:00
FemboyLover,0,0,0,0,9885997.47,19505081.72,19885997.47,19885997.47,19930679.78,19392487.91,-5.18,-0.05183796459837663,19.07095995051289,-5.18,1186,1411,84.1,98.8599746772,2025-11-30 17:55:12,2025-11-27 00:00:00
