Order Number,owner,Volume,Price,Side,Symbol,Timestamp
ORD00001,FemboyLover,87700.0,5.75,Buy,CCET,2025-11-10 09:56:20
ORD00002,FemboyLover,87700.0,5.75,Sell,CCET,2025-11-10 10:00:00
ORD00003,FemboyLover,233600.0,2.16,Buy,AWC,2025-11-10 10:31:01
ORD00004,FemboyLover,38100.0,13.2,Buy,TU,2025-11-10 10:26:01
ORD00005,FemboyLover,233600.0,2.16,Sell,AWC,2025-11-10 14:04:13
ORD00006,FemboyLover,38100.0,13.3,Sell,TU,2025-11-10 10:47:18
ORD00007,FemboyLover,1600.0,313.0,Buy,ADVANC,2025-11-10 10:41:27
ORD00008,FemboyLover,1600.0,315.0,Sell,ADVANC,2025-11-10 11:38:29
ORD00009,FemboyLover,2200.0,221.0,Buy,DELTA,2025-11-10 10:34:09
ORD00010,FemboyLover,32400.0,15.5,Buy,OSP,2025-11-10 16:00:44
ORD00011,FemboyLover,32400.0,15.4,Sell,OSP,2025-11-10 16:26:45
ORD00012,FemboyLover,2200.0,223.0,Sell,DELTA,2025-11-10 11:23:44
ORD00013,FemboyLover,24200.0,20.700000000000003,Buy,PTTGC,2025-11-10 16:11:07
ORD00014,FemboyLover,24200.0,20.599999999999998,Sell,PTTGC,2025-11-10 16:25:09
ORD00015,FemboyLover,11100.0,45.25,Buy,CPALL,2025-11-11 09:59:01
ORD00016,FemboyLover,9800.0,51.25,Buy,TCAP,2025-11-11 09:59:25
ORD00017,FemboyLover,11100.0,45.75,Sell,CPALL,2025-11-11 09:59:23
ORD00018,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:01:25
ORD00019,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 10:08:27
ORD00020,FemboyLover,11100.0,45.25,Buy,CPALL,2025-11-11 09:59:31
ORD00021,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 10:08:59
ORD00022,FemboyLover,11100.0,45.75,Sell,CPALL,2025-11-11 09:59:32
ORD00023,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:02:33
ORD00024,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:02:35
ORD00025,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:06:13
ORD00026,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:03:36
ORD00027,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:03:37
ORD00028,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:03:41
ORD00029,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:04:00
ORD00030,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:04:11
ORD00031,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:04:15
ORD00032,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:06:14
ORD00033,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:04:20
ORD00034,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:04:24
ORD00035,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:04:33
ORD00036,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:04:58
ORD00037,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:08:07
ORD00038,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:05:20
ORD00039,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:05:21
ORD00040,FemboyLover,11100.0,45.25,Buy,CPALL,2025-11-11 10:02:51
ORD00041,FemboyLover,11100.0,45.75,Sell,CPALL,2025-11-11 10:02:51
ORD00042,FemboyLover,9800.0,51.75,Sell,TCAP,2025-11-11 10:14:57
ORD00043,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:06:56
ORD00044,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:09:04
ORD00045,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:06:58
ORD00046,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 10:40:27
ORD00047,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 10:44:17
ORD00048,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:09:59
ORD00049,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:09:59
ORD00050,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 10:50:26
ORD00051,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:11:09
ORD00052,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 10:52:47
ORD00053,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 10:53:18
ORD00054,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 10:57:46
ORD00055,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 10:57:46
ORD00056,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 10:57:46
ORD00057,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 10:57:47
ORD00058,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:08:13
ORD00059,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:08:29
ORD00060,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:11:32
ORD00061,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:09:08
ORD00062,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:13:30
ORD00063,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:13:32
ORD00064,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:09:14
ORD00065,FemboyLover,12800.0,39.25,Buy,MTC,2025-11-11 10:18:34
ORD00066,FemboyLover,12800.0,39.75,Sell,MTC,2025-11-11 10:18:34
ORD00067,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:15:04
ORD00068,FemboyLover,100000.0,5.05,Buy,BEM,2025-11-11 10:39:08
ORD00069,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:17:37
ORD00070,FemboyLover,11100.0,45.25,Buy,CPALL,2025-11-11 10:04:29
ORD00071,FemboyLover,100000.0,5.95,Sell,BEM,2025-11-11 10:39:08
ORD00072,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:17:37
ORD00073,FemboyLover,11100.0,45.75,Sell,CPALL,2025-11-11 10:04:39
ORD00074,FemboyLover,12800.0,39.25,Buy,MTC,2025-11-11 10:18:34
ORD00075,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:15:46
ORD00076,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:18:03
ORD00077,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:18:03
ORD00078,FemboyLover,12800.0,39.75,Sell,MTC,2025-11-11 10:18:43
ORD00079,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:17:21
ORD00080,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:10:04
ORD00081,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:18:59
ORD00082,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:10:05
ORD00083,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:18:42
ORD00084,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:10:05
ORD00085,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:10:09
ORD00086,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 11:02:53
ORD00087,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:18:45
ORD00088,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:19:13
ORD00089,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 11:04:41
ORD00090,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:19:13
ORD00091,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:10:30
ORD00092,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:28:37
ORD00093,FemboyLover,11100.0,45.25,Buy,CPALL,2025-11-11 10:06:42
ORD00094,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:10:31
ORD00095,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:31:57
ORD00096,FemboyLover,11100.0,45.75,Sell,CPALL,2025-11-11 10:07:07
ORD00097,FemboyLover,12800.0,39.25,Buy,MTC,2025-11-11 10:29:25
ORD00098,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:33:49
ORD00099,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:21:32
ORD00100,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:21:32
ORD00101,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:21:40
ORD00102,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 11:04:59
ORD00103,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:22:13
ORD00104,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 11:06:55
ORD00105,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 11:06:56
ORD00106,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:24:40
ORD00107,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:24:40
ORD00108,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:10:56
ORD00109,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:24:45
ORD00110,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:10:57
ORD00111,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 11:14:43
ORD00112,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 11:14:46
ORD00113,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 11:17:37
ORD00114,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:12:18
ORD00115,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:12:23
ORD00116,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:24:48
ORD00117,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 11:18:48
ORD00118,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:25:25
ORD00119,FemboyLover,33300.0,15.9,Sell,OSP,2025-11-11 10:41:38
ORD00120,FemboyLover,12100.0,41.75,Sell,CBG,2025-11-11 10:25:25
ORD00121,FemboyLover,12100.0,41.25,Buy,CBG,2025-11-11 10:25:28
ORD00122,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 11:23:56
ORD00123,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:12:33
ORD00124,FemboyLover,33300.0,15.1,Buy,OSP,2025-11-11 10:45:39
ORD00125,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:12:35
ORD00126,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:12:35
ORD00127,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:12:36
ORD00128,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:13:00
ORD00129,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:13:14
ORD00130,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 11:23:56
ORD00131,FemboyLover,9600.0,52.25,Buy,CPN,2025-11-11 11:23:56
ORD00132,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:13:30
ORD00133,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:13:37
ORD00134,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:13:39
ORD00135,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:13:56
ORD00136,FemboyLover,100000.0,5.05,Buy,BEM,2025-11-11 10:56:07
ORD00137,FemboyLover,100000.0,5.95,Sell,BEM,2025-11-11 10:56:07
ORD00138,FemboyLover,100000.0,5.05,Buy,BEM,2025-11-11 10:56:07
ORD00139,FemboyLover,100000.0,5.95,Sell,BEM,2025-11-11 10:56:07
ORD00140,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:14:32
ORD00141,FemboyLover,9600.0,52.75,Sell,CPN,2025-11-11 11:24:55
ORD00142,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:14:32
ORD00143,FemboyLover,18500.0,27.75,Sell,KTB,2025-11-11 10:14:37
ORD00144,FemboyLover,18500.0,27.25,Buy,KTB,2025-11-11 10:14:46
