Symbol,Buy Count,Buy Volume,Buy Avg Price,Buy Amount,Buy Comm,Buy VAT,Paid Amount,Sell Count,Sell Volume,Sell Avg Price,Sell Amount,Sell Comm,Sell VAT,Received Amount
BDMS,113,3130100.0,18.1,56654810.0,88948.05,6226.36,56749984.42,113,3130100.0,18.9,59158890.0,92879.46,6501.56,59059508.98
BEM,25,2480700.0,5.17,12830180.4,20143.38,1410.04,12851733.82,25,2480700.0,5.86,14546824.8,22838.51,1598.7,14522387.59
BH,1,3400.0,173.5,589900.0,926.14,64.83,590890.97,1,3400.0,180.5,613700.0,963.51,67.45,612669.05
BJC,1,38700.0,15.6,603720.0,947.84,66.35,604734.19,1,38700.0,15.4,595980.0,935.69,65.5,594978.81
BTS,1,240000.0,2.52,604800.0,949.54,66.47,605816.0,1,240000.0,2.66,638400.0,1002.29,70.16,637327.55
CBG,3,41800.0,40.83,1706833.33,2679.73,187.58,1709700.64,3,41800.0,40.92,1710316.67,2685.2,187.96,1707443.51
CCET,6,639500.0,5.06,3234804.17,5078.64,355.5,3240238.31,6,639500.0,5.31,3396810.83,5332.99,373.31,3391104.53
COM7,2,54200.0,22.2,1203240.0,1889.09,132.24,1205261.32,2,54200.0,22.4,1214080.0,1906.11,133.43,1212040.47
CPALL,203,2253300.0,45.25,101961825.0,160080.07,11205.6,102133110.67,203,2253300.0,45.75,103088475.0,161848.91,11329.42,102915296.67
CPN,11,105600.0,52.25,5517600.0,8662.63,606.38,5526869.02,11,105600.0,52.75,5570400.0,8745.53,612.19,5561042.29
CRC,1,44100.0,13.7,604170.0,948.55,66.4,605184.95,1,44100.0,19.3,851130.0,1336.27,93.54,849700.19
DELTA,2,5900.0,204.0,1203600.0,1889.65,132.28,1205621.93,2,5900.0,205.0,1209500.0,1898.92,132.92,1207468.16
GPSC,9,128400.0,36.86,4732966.67,7430.76,520.15,4740917.58,9,128400.0,37.25,4782900.0,7509.15,525.64,4774865.21
GULF,322,3735200.0,43.25,161547400.0,253629.42,17754.06,161818783.48,322,3735200.0,43.75,163415000.0,256561.55,17959.31,163140479.14
HMPRO,1,100800.0,6.0,604800.0,949.54,66.47,605816.0,1,100800.0,5.9,594720.0,933.71,65.36,593720.93
IVL,3,114700.0,15.83,1816083.33,2851.25,199.59,1819134.17,3,114700.0,15.63,1793143.33,2815.24,197.07,1790131.03
KTB,6,133200.0,27.25,3629700.0,5698.63,398.9,3635797.53,6,133200.0,27.75,3696300.0,5803.19,406.22,3690090.59
KTC,3,58200.0,27.67,1610200.0,2528.01,176.96,1612904.97,3,58200.0,27.42,1595650.0,2505.17,175.36,1592969.47
MINT,108,2583400.0,21.08,54452331.11,85490.16,5984.31,54543805.58,108,2583400.0,21.87,56499914.81,88704.87,6209.34,56405000.61
MTC,4,64800.0,37.19,2409750.0,3783.31,264.83,2413798.14,4,64800.0,37.5,2430000.0,3815.1,267.06,2425917.84
OSP,5,186600.0,15.1,2817660.0,4423.73,309.66,2822393.39,5,186600.0,15.9,2966940.0,4658.1,326.07,2961955.84
PTTGC,25,625000.0,20.1,12562500.0,19723.12,1380.62,12583603.74,25,625000.0,20.86,13037500.0,20468.88,1432.82,13015598.3
RATCH,23,405600.0,28.46,11541965.22,18120.89,1268.46,11561354.56,23,405600.0,28.83,11691860.87,18356.22,1284.94,11672219.71
SCGP,4,152500.0,15.85,2417125.0,3794.89,265.64,2421185.53,4,152500.0,15.9,2424750.0,3806.86,266.48,2420676.66
TIDLOR,2,63600.0,18.95,1205220.0,1892.2,132.45,1207244.65,2,63600.0,19.05,1211580.0,1902.18,133.15,1209544.67
TOP,79,1097100.0,36.22,39735156.65,62384.2,4366.89,39801907.74,79,1097100.0,36.7,40259403.8,63207.26,4424.51,40191772.03
TRUE,28,1515000.0,11.18,16935535.71,26588.79,1861.22,16963985.72,28,1515000.0,11.39,17254767.86,27089.99,1896.3,17225781.57
TU,3,137300.0,13.2,1812360.0,2845.41,199.18,1815404.58,3,137300.0,13.3,1826090.0,2866.96,200.69,1823022.35
VGI,6,3396400.0,1.07,3634148.0,5705.61,399.39,3640253.01,6,3396400.0,1.07,3634148.0,5705.61,399.39,3628042.99
TOTAL,1000,23535100.0,,,800983.2,56068.82,511037436.62,1000,23535100.0,,,819083.41,57335.84,520832756.73
