Order Number,owner,Volume,Price,Side,Symbol,Timestamp
ORD00001,FemboyLover_Hybrid,22200.0,27.25,Buy,KTB,2025-11-11 10:01:25
ORD00002,FemboyLover_Hybrid,40000.0,15.1,Buy,OSP,2025-11-11 10:06:13
ORD00003,FemboyLover_Hybrid,22200.0,27.75,Sell,KTB,2025-11-11 10:04:11
ORD00004,FemboyLover_Hybrid,22200.0,27.25,Buy,KTB,2025-11-11 10:04:15
ORD00005,FemboyLover_Hybrid,40000.0,15.9,Sell,OSP,2025-11-11 10:06:14
ORD00006,FemboyLover_Hybrid,22200.0,27.75,Sell,KTB,2025-11-11 10:04:20
ORD00007,FemboyLover_Hybrid,22200.0,27.25,Buy,KTB,2025-11-11 10:04:24
ORD00008,FemboyLover_Hybrid,22200.0,27.75,Sell,KTB,2025-11-11 10:04:33
ORD00009,FemboyLover_Hybrid,22200.0,27.25,Buy,KTB,2025-11-11 10:04:58
ORD00010,FemboyLover_Hybrid,40000.0,15.1,Buy,OSP,2025-11-11 10:08:07
ORD00011,FemboyLover_Hybrid,22200.0,27.75,Sell,KTB,2025-11-11 10:05:20
ORD00012,FemboyLover_Hybrid,22200.0,27.25,Buy,KTB,2025-11-11 10:05:21
ORD00013,FemboyLover_Hybrid,22200.0,27.75,Sell,KTB,2025-11-11 10:06:56
ORD00014,FemboyLover_Hybrid,40000.0,15.9,Sell,OSP,2025-11-11 10:09:04
ORD00015,FemboyLover_Hybrid,22200.0,27.25,Buy,KTB,2025-11-11 10:06:58
ORD00016,FemboyLover_Hybrid,9600.0,52.25,Buy,CPN,2025-11-11 10:40:27
ORD00017,FemboyLover_Hybrid,9600.0,52.75,Sell,CPN,2025-11-11 10:44:17
ORD00018,FemboyLover_Hybrid,9600.0,52.25,Buy,CPN,2025-11-11 10:50:26
ORD00019,FemboyLover_Hybrid,40000.0,15.1,Buy,OSP,2025-11-11 10:11:09
ORD00020,FemboyLover_Hybrid,9600.0,52.75,Sell,CPN,2025-11-11 10:52:47
ORD00021,FemboyLover_Hybrid,9600.0,52.25,Buy,CPN,2025-11-11 10:53:18
ORD00022,FemboyLover_Hybrid,9600.0,52.75,Sell,CPN,2025-11-11 10:57:46
ORD00023,FemboyLover_Hybrid,9600.0,52.25,Buy,CPN,2025-11-11 10:57:46
ORD00024,FemboyLover_Hybrid,9600.0,52.75,Sell,CPN,2025-11-11 10:57:46
