Symbol,Buy Count,Buy Volume,Buy Avg Price,Buy Amount,Buy Comm,Buy VAT,Paid Amount,Sell Count,Sell Volume,Sell Avg Price,Sell Amount,Sell Comm,Sell VAT,Received Amount
AOT,1,12800.0,39.25,502400.0,788.77,55.21,503243.98,1,12800.0,39.75,508800.0,798.82,55.92,507945.27
BCP,4,68800.0,29.25,2012400.0,3159.47,221.16,2015780.63,4,68800.0,29.75,2046800.0,3213.48,224.94,2043361.58
CBG,4,44400.0,45.25,2009100.0,3154.29,220.8,2012475.09,4,44400.0,45.75,2031300.0,3189.14,223.24,2027887.62
COM7,13,260000.0,25.25,6565000.0,10307.05,721.49,6576028.54,13,260000.0,25.75,6695000.0,10511.15,735.78,6683753.07
CPALL,24,259200.0,46.25,11988000.0,18821.16,1317.48,12008138.64,24,259200.0,46.75,12117600.0,19024.63,1331.72,12097243.64
CPF,105,2499000.0,21.1,52728900.0,82784.37,5794.91,52817479.28,105,2499000.0,21.9,54728100.0,85923.12,6014.62,54636162.26
CPN,7,67200.0,52.25,3511200.0,5512.58,385.88,3517098.46,7,67200.0,52.75,3544800.0,5565.34,389.57,3538845.09
DELTA,2,4400.0,225.5,992200.0,1557.75,109.04,993866.8,2,4400.0,226.0,994400.0,1561.21,109.28,992729.51
EGCO,1,4000.0,124.5,498000.0,781.86,54.73,498836.59,1,4000.0,124.5,498000.0,781.86,54.73,497163.41
GPSC,7,83900.0,41.82,3508817.86,5508.84,385.62,3514712.32,7,83900.0,42.18,3538782.14,5555.89,388.91,3532837.34
GULF,388,4306800.0,45.25,194882700.0,305965.84,21417.61,195210083.45,388,4306800.0,45.75,197036100.0,309346.68,21654.27,196705099.06
IVL,40,1000000.0,20.1,20100000.0,31557.0,2208.99,20133765.99,40,1000000.0,20.9,20900000.0,32813.0,2296.91,20864890.09
KKP,1,7800.0,64.25,501150.0,786.81,55.08,501991.88,1,7800.0,64.75,505050.0,792.93,55.5,504201.57
KTB,805,15456000.0,26.25,405720000.0,636980.4,44588.63,406401569.03,805,15456000.0,26.75,413448000.0,649113.36,45437.94,412753448.7
KTC,8,141800.0,28.38,4023575.0,6317.01,442.19,4030334.2,8,141800.0,28.88,4094475.0,6428.33,449.98,4087596.69
MINT,14,317800.0,22.1,7023380.0,11026.71,771.87,7035178.58,14,317800.0,22.9,7277620.0,11425.86,799.81,7265394.33
MTC,7,87500.0,40.25,3521875.0,5529.34,387.05,3527791.4,7,87500.0,40.75,3565625.0,5598.03,391.86,3559635.11
OR,11,392700.0,14.1,5537070.0,8693.2,608.52,5546371.72,11,392700.0,14.81,5815530.0,9130.38,639.13,5805760.49
PTT,136,2189600.0,31.25,68425000.0,107427.25,7519.91,68539947.16,136,2189600.0,31.75,69519800.0,109146.09,7640.23,69403013.69
TCAP,18,176400.0,51.25,9040500.0,14193.58,993.55,9055687.14,18,176400.0,51.75,9128700.0,14332.06,1003.24,9113364.7
TIDLOR,59,1404200.0,21.1,29628620.0,46516.93,3256.19,29678393.12,59,1404200.0,21.9,30751980.0,48280.61,3379.64,30700319.75
TOP,4,56800.0,35.25,2002200.0,3143.45,220.04,2005563.5,4,56800.0,35.75,2030600.0,3188.04,223.16,2027188.8
TOTAL,1659,28841100.0,,,1310513.68,91735.96,836124337.49,1659,28841100.0,,,1335719.99,93500.4,849347841.76
