Order Number,owner,Volume,Price,Side,Symbol,Timestamp
ORD00001,FemboyLover_Oct28Test,11900.0,42.25,Buy,GPSC,2025-10-28 09:56:31
ORD00002,FemboyLover_Oct28Test,11900.0,42.75,Sell,GPSC,2025-10-28 09:56:39
ORD00003,FemboyLover_Oct28Test,9600.0,52.25,Buy,CPN,2025-10-28 09:56:17
ORD00004,FemboyLover_Oct28Test,17200.0,29.25,Buy,KTC,2025-10-28 09:58:11
ORD00005,FemboyLover_Oct28Test,17200.0,29.25,Buy,BCP,2025-10-28 10:02:28
ORD00006,FemboyLover_Oct28Test,17200.0,29.75,Sell,BCP,2025-10-28 10:02:35
ORD00007,FemboyLover_Oct28Test,17200.0,29.25,Buy,BCP,2025-10-28 10:02:48
ORD00008,FemboyLover_Oct28Test,17200.0,29.75,Sell,BCP,2025-10-28 10:02:52
ORD00009,FemboyLover_Oct28Test,17200.0,29.25,Buy,BCP,2025-10-28 10:04:18
ORD00010,FemboyLover_Oct28Test,17200.0,29.75,Sell,BCP,2025-10-28 10:06:57
ORD00011,FemboyLover_Oct28Test,17200.0,29.25,Buy,BCP,2025-10-28 10:08:38
ORD00012,FemboyLover_Oct28Test,11900.0,42.25,Buy,GPSC,2025-10-28 10:02:35
ORD00013,FemboyLover_Oct28Test,9600.0,52.75,Sell,CPN,2025-10-28 09:57:06
ORD00014,FemboyLover_Oct28Test,12500.0,40.25,Buy,MTC,2025-10-28 10:08:21
ORD00015,FemboyLover_Oct28Test,17200.0,29.75,Sell,KTC,2025-10-28 10:03:51
ORD00016,FemboyLover_Oct28Test,12500.0,40.75,Sell,MTC,2025-10-28 10:08:22
ORD00017,FemboyLover_Oct28Test,12500.0,40.25,Buy,MTC,2025-10-28 10:08:31
ORD00018,FemboyLover_Oct28Test,12500.0,40.75,Sell,MTC,2025-10-28 10:08:31
ORD00019,FemboyLover_Oct28Test,11900.0,42.75,Sell,GPSC,2025-10-28 10:05:40
ORD00020,FemboyLover_Oct28Test,12500.0,40.25,Buy,MTC,2025-10-28 10:08:39
ORD00021,FemboyLover_Oct28Test,11900.0,42.25,Buy,GPSC,2025-10-28 10:05:51
ORD00022,FemboyLover_Oct28Test,12500.0,40.75,Sell,MTC,2025-10-28 10:09:01
ORD00023,FemboyLover_Oct28Test,12500.0,40.25,Buy,MTC,2025-10-28 10:09:02
ORD00024,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 10:39:11
ORD00025,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 10:42:42
ORD00026,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 10:44:12
ORD00027,FemboyLover_Oct28Test,11900.0,42.75,Sell,GPSC,2025-10-28 10:08:02
ORD00028,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 10:49:53
ORD00029,FemboyLover_Oct28Test,11900.0,42.25,Buy,GPSC,2025-10-28 10:08:07
ORD00030,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 10:53:34
ORD00031,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 10:53:35
ORD00032,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 10:54:13
ORD00033,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 10:54:50
ORD00034,FemboyLover_Oct28Test,14200.0,35.25,Buy,TOP,2025-10-28 10:23:48
ORD00035,FemboyLover_Oct28Test,14200.0,35.75,Sell,TOP,2025-10-28 10:23:48
ORD00036,FemboyLover_Oct28Test,14200.0,35.25,Buy,TOP,2025-10-28 10:23:48
ORD00037,FemboyLover_Oct28Test,14200.0,35.75,Sell,TOP,2025-10-28 10:23:52
ORD00038,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 10:56:01
ORD00039,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 10:57:46
ORD00040,FemboyLover_Oct28Test,17200.0,29.75,Sell,BCP,2025-10-28 10:10:51
ORD00041,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 10:58:17
ORD00042,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:01:38
ORD00043,FemboyLover_Oct28Test,20000.0,25.25,Buy,COM7,2025-10-28 10:48:53
ORD00044,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:03:03
ORD00045,FemboyLover_Oct28Test,11100.0,45.25,Buy,CBG,2025-10-28 10:04:18
ORD00046,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:07:18
ORD00047,FemboyLover_Oct28Test,7800.0,64.25,Buy,KKP,2025-10-28 10:06:31
ORD00048,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:08:15
ORD00049,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:08:20
ORD00050,FemboyLover_Oct28Test,12500.0,40.75,Sell,MTC,2025-10-28 10:10:31
ORD00051,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:10:44
ORD00052,FemboyLover_Oct28Test,14200.0,35.25,Buy,TOP,2025-10-28 10:30:47
ORD00053,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:14:01
ORD00054,FemboyLover_Oct28Test,14200.0,35.75,Sell,TOP,2025-10-28 10:30:47
ORD00055,FemboyLover_Oct28Test,12500.0,40.25,Buy,MTC,2025-10-28 10:12:27
ORD00056,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:15:10
ORD00057,FemboyLover_Oct28Test,14200.0,35.25,Buy,TOP,2025-10-28 10:30:47
ORD00058,FemboyLover_Oct28Test,12500.0,40.75,Sell,MTC,2025-10-28 10:12:44
ORD00059,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:17:19
ORD00060,FemboyLover_Oct28Test,14200.0,35.75,Sell,TOP,2025-10-28 10:30:50
ORD00061,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:17:45
ORD00062,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:18:03
ORD00063,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:19:43
ORD00064,FemboyLover_Oct28Test,20000.0,25.75,Sell,COM7,2025-10-28 10:48:53
ORD00065,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:19:58
ORD00066,FemboyLover_Oct28Test,11100.0,45.75,Sell,CBG,2025-10-28 10:04:47
ORD00067,FemboyLover_Oct28Test,20000.0,25.25,Buy,COM7,2025-10-28 10:48:53
ORD00068,FemboyLover_Oct28Test,11100.0,45.25,Buy,CBG,2025-10-28 10:04:51
ORD00069,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:21:45
ORD00070,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:22:42
ORD00071,FemboyLover_Oct28Test,20000.0,25.75,Sell,COM7,2025-10-28 10:48:53
ORD00072,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:23:41
ORD00073,FemboyLover_Oct28Test,20000.0,25.25,Buy,COM7,2025-10-28 10:48:53
ORD00074,FemboyLover_Oct28Test,9800.0,51.75,Sell,TCAP,2025-10-28 11:23:59
ORD00075,FemboyLover_Oct28Test,11100.0,45.75,Sell,CBG,2025-10-28 10:05:03
ORD00076,FemboyLover_Oct28Test,11100.0,45.25,Buy,CBG,2025-10-28 10:05:04
ORD00077,FemboyLover_Oct28Test,20000.0,25.75,Sell,COM7,2025-10-28 10:48:53
ORD00078,FemboyLover_Oct28Test,9800.0,51.25,Buy,TCAP,2025-10-28 11:26:04
ORD00079,FemboyLover_Oct28Test,11100.0,45.75,Sell,CBG,2025-10-28 10:05:34
